article number,article name ,Product Code1,Product Code2,Commodity Group Number,Commodity Group Name,Sector Number,Sector Name,Assortment Number,Assortment Name,Product Cost,Last Purchase Price,Product Retail Price
080480003012,BACARDI OAKHEART 750ML GIFT PK,,,15,RUM,1,Tax,5,Slow Seller - Old,0.00,0.00,
087647081425,ISLE OF JURA 10YR SINGLE MALT 750ML,10092478,10094663,10,WHISKEY,1,Tax,1,General Assortment,0.00,38.50,49.99
12000286223,PURE LEAF TEA RASPBERRY 18.5OZ,,,2,GROCERY,1,Tax,4,No Sales >4 months,0.00,0.00,
085904015503,MOGEN DAVID CONCORD GRAPE 1.5L,08590401550,085904015503,12,WINE,1,Tax,1,General Assortment,0.00,5.75,7.99
073705020185,FC WAITERS CORKSCREW ,,,35,BAR ESSENTIALS,1,Tax,1,General Assortment,0.00,0.00,2.99
022592000091,OZARKA DRIKING WATER 1 GALLON,074633,2259200009,2,GROCERY,2,No Tax,4,No Sales >4 months,0.00,1.46,1.99
635985224181,MIKES HARD LEMONADE FROZEN POUCH,3598522418,,20,RTD,1,Tax,4,No Sales >4 months,0.00,0.00,
CH20014,B & B CIGARS CHECK,,,75,Vendor CHECK,2,No Tax,3,Vendor,0.00,1.00,1.00
088004017170,EPIC CAKE 1.75L,8800401717,,8,VODKA,1,Tax,4,No Sales >4 months,0.00,0.00,
854485003021,MOODY JUNE 750ML,10070442,5448500302,17,GIN,1,Tax,4,No Sales >4 months,0.00,23.59,29.99
7503007378026,HOTEL CALIFORNIA BLANCO,19222396,922239,18,TEQUILA,1,Tax,1,General Assortment,0.00,1.50,19.99
811538013581,BOODLES MULBERRY GIN 750ML,1153801358,,17,GIN,1,Tax,1,General Assortment,0.00,15.74,19.99
080660000725,WALKING STICK SB 750ML,7754,8066000072,10,WHISKEY,1,Tax,4,No Sales >4 months,0.00,35.64,45.99
085592159312,TARANTULA RTD AZUL 1.75L,08559215931,34580269,20,RTD,1,Tax,1,General Assortment,0.00,12.74,15.99
014800582000,REAL LIME JUICE 2.5OZ,1480058200,183186,2,GROCERY,1,Tax,1,General Assortment,0.00,0.45,0.99
7423825002043,BACCARAT HAVANA SELECTION TORO ,,,33,CIGARS,1,Tax,4,No Sales >4 months,0.00,3.20,5.99
018341151107,BAREFOOT MERLOT 1.5L,0-18341-15110-7,1834115110,12,WINE,1,Tax,1,General Assortment,0.00,9.00,11.99
859891003191,DEEP ELLUM FOUR SWORDS,38340,5989100319,6,BEER,1,Tax,4,No Sales >4 months,0.00,13.33,15.99
082844002006,CALICO JACK TROPICAL 750ML,8284400200,,15,RUM,1,Tax,5,Slow Seller - Old,0.00,0.00,8.99
085246171561,MAKERS MARK 50ML,0-85246-43189-4,638833,9,50ML,1,Tax,1,General Assortment,0.00,2.10,3.99
9780965774742,DIESEL SHORTY CIGARS,16237,,33,CIGARS,1,Tax,4,No Sales >4 months,0.00,0.00,
085000020609,BAREFOOT PINK MOSCATO 1.5L,0-85000-02060-9,0319272,12,WINE,1,Tax,1,General Assortment,0.00,9.00,11.99
099988071188,FOLIE A DEUX SONAMA COAST PINOT NOIR,9998807118,,12,WINE,1,Tax,4,No Sales >4 months,0.00,0.00,16.99
085725340013,PINKUS ORGANIC ALT ALE 500ML,8572534001,,6,BEER,1,Tax,4,No Sales >4 months,0.00,0.00,3.99
689674023678,PUNCH ELITE CIGAR,27075,8967402367,33,CIGARS,1,Tax,4,No Sales >4 months,0.00,3.29,4.59
