article number,article name ,Commodity Group Name,Product Retail Price
087647081425,ISLE OF JURA 10YR SINGLE MALT 750ML,WHISKEY,49.99
085904015503,MOGEN DAVID CONCORD 1.5L,WINE,7.99
088004017170,EPIC CAKE 1.75L,VODKA,
854485003021,MOODY JUNE 750ML,GIN,29.99
7503007378026,HOTEL CALIFORNIA BLANCO,TEQUILA,19.99
811538013581,BOODLES MULBERRY GIN 750ML,GIN,19.99
080660000725,WALKING STICK SB 750ML,WHISKEY,45.99
018341151107,BAREFOOT MERLOT 1.5L,WINE,11.99
085000020609,BAREFOOT PINK MOSCATO 1.5L,WINE,11.99
099988071188,FOLIE A DEUX SONAMA COAST PINOT NOIR,WINE,16.99
739949800012,ARAK RAZZOUK 750ML,LIQUEUR,18.99
083664107339,GLENFIDDICH 12YRS,WHISKEY,69.99
085246139462,MAKERS MARK 200ML,WHISKEY,9.99
085904753306,MD 20/20 SOUR APPLE 375ML,WINE,1.99
673943336255,SOMBRERO COFFEE 750ML,LIQUEUR,9.99
082100738564,ARBOR MIST MANGO STRAW 750ML,WINE,
009016014728,HIJOS DE VILLA REVOLVER TEQUILA 200ML,TEQUILA,22.99
085000019276,TURNING LEAF CRISP WHITE 750ML,WINE,
850542,SUTTER HOME MERLOT 1.5 L,WINE,8.99
4820001726886,FRATELLI BLAZE 750ML ,WINE,9.99
897291000600,FIREFLY RASPBERRY TEA 750ML,VODKA,18.99
811538010467,1800 MILENIO 750ML,TEQUILA,199.99
088076177796,CIROC COCONUT 200ML,VODKA,10.99
830617000199,HAAK CABERNET SAUV,WINE,11.99
022851502014,OSBORNE TAWNY PORT 750ML,WINE,13.99
793573911681,BLUE NEC SP RES 750ML,TEQUILA,38.99
080432113097,JAMESON BOW STREET 18YR 750ML,WHISKEY,199.99
7798120560100,SERRERA RESER MALBEC 2010 750ML,WINE,
081128005139,OLD FORESTER 375ML,WHISKEY,9.99
848375003536,CAPESIDE CAB 2014,WINE,4.99
027724587501,ST GEORGE RASPBERRY BRANDY 750ML,LIQUEUR,8.99
080686929017,PINNACLE CAKE 750ML,VODKA,12.99
721733000890,PATRON REPO 1.75L,TEQUILA,109.00
835229002609,ABSOLUT MANDRIN 1.75L,VODKA,32.99
082896041725,LITTLE BLACK DRESS CHARDONNAY 750ML,WINE,9.99
085200118861,SUTTER HOME RED BLEND 4PK,WINE,5.99
4820000420563,AUTOMATIC MACHINE GUN VODKA 1L,VODKA,
082100179091,ARBOR MIST TROPICAL FRUIT 750ML,WINE,4.99
084692620609,ALIZE APPLE 750ML,VODKA,17.99
085000005644,THUNDERBIRD CITRUS 750ML,WINE,
009460000339,TERRA DORO ZINFANDEL PORT 750ML,WINE,
877358000712,AIKO VODKA DEER 750ML,VODKA,
080720962215,BELCREME DE LYS CHARDONNAY 750ML,WINE,9.99
088004019761,WHEATLEY VODKA 750ML,VODKA,19.99
080686931850,PINNACLE CINNABON 750ML,VODKA,12.99
089832010043,VINA ZALEMA 750ML,WINE,3.99
089016016397,EXPRESS LOAD BLENDED WHISKEY 200ML,WHISKEY,2.99
675829300015,MOSCATO BELLA 750ML,WINE,10.99
074806000595,DAILYS SWEET & SOUR MXR N/A,MIXERS,3.99
084279950204,VERSASI DRY MARSALA 750ML,WINE,8.99
088352110059,SAINT BRENDANS 375ML,LIQUEUR,
CASHC30013000000000000000000000000000000000000025,FLY BY SAUVIGNON BLANC 2012,WINE,2.99
635797137112,HONOR BLANCO REFLEXION 750ML,TEQUILA,44.99
080686926429,PINNACLE KIWI STRAWBERRY 750ML,VODKA,
082000125389,YUKON JACK 375ML,LIQUEUR,
852832105565,GRAFFIGNA P GRIGIO 750ML,WINE,11.99
088087000045,BAR BLEND LIME JUICE 1L,MIXERS,5.99
616003814225,ZING ZANG BLOODY MARY 32OZ,MIXERS,4.99
857964002003,ENCHANTED ROCK 750ML,VODKA,16.99
715126400022,MONTES MALBEC 750ML,WINE,9.99
812066020249,FAMOUS GROUSE SMOKY BLACK 1.75L,SCOTCH,45.99
080432109182,SEAGRAMS PINEAPPLE GIN 200ML,GIN,3.99
082000003885,SMIRNOFF ORANGE 375ML,VODKA,
081753801847,NEWTON CLARET 750ML,WINE,
08597603415,MANISCHEWITZ CONCORD GRAPE 1.5L,WINE,
721059001748,SKYY INFUSIONS GRAPEFRUIT 1L,VODKA,
085000014462,CARLO ROSSI CAB SAUV 4L,WINE,12.99
082000750710,SMIRNOFF PEACH 750ML,VODKA,13.99
811538014311,THREE OLIVES COCONUT WATER 1L,VODKA,
701254560097,4 SEASONS WHITE MOSCATO 750ML,WINE,
835603001310,La Posta Pizzella Malbec 750ml,WINE,
747020306414,GORDON & MAC PHAIL GLENBURGIE 10YR 750ML,SCOTCH,
080686929703,PINNACLE RAIN SHERBET 1L,VODKA,6.99
724624115017,J. VINEYARDS PINOT NOIR 750ML,WINE,31.49
750301336093,CASA NOBLE BLANCO 375ML,TEQUILA,16.99
082100736300,MONKEY BAY SAUV BLANC 750ML,WINE,9.99
898432002507,DULCE VIDA GRAPEFRUIT 750ML,TEQUILA,23.99
811538010757,THREE OLIVES TARTZ 1.75L,VODKA,
812459012301,WINEHEART IRISH CREAM 750ML,LIQUEUR,11.99
080516130828,RIUNITE BLACKBERRY MERLOT 1.5L,WINE,9.99
089016016915,CLYDE MAYS STRAIGHT BOURBON 750ML,WHISKEY,35.99
812459012264,WINEHEART PEACHES AND CREAM 750ML,LIQUEUR,11.99
835229002104,ABSOLUT MANDRIN 200ML,VODKA,7.99
082000747338,SMIRNOFF PINEAPPLE 1.75L,VODKA,19.99
9780965774788,EL GRITO GOLD 750ML,TEQUILA,61.99
617768181379,SVEDKA GRAPEFRUIT JALAPENO 375ML,VODKA,5.99
082915001365,FIRESTONE SYRAH 750ML,WINE,6.99
080686926900,PINNACLE PEACH 1.75L,VODKA,14.99
